"May 2020 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","245","","","","","","","","",""
"Retired","141","","","","","","","","",""
"Rename","106","","","","","","","","",""
"Move","61","","","","","","","","",""
"Move & Rename","26","","","","","","","","",""
"Total","579","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","Phoropters & Manual Refractors","","","","185232","",""
"","","","","Phototherapy Lights & Systems","","","","184535","",""
"","","","","Pill/Tablet Making Machines","","","","185233","All listings are being moved into [Other Medical & Lab Equipment - 185256].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Pill & Capsule Counters","","","","185234","",""
"","","","","Pipette & Micropipette Pullers","","","","185235","",""
"","","","","Pipettors/Automatic Pipettes","","","","185236","",""
"","","","","Pulse Oximeters","","","","31465","",""
"","","","","Pupilometers","","","","159686","",""
"","","","","Slit Lamps","","","","71388","",""
"","","","","Solvent Recyclers","","","","185237","",""
"","","","","Spectrometers & Spectrophotometers","","","","185238","",""
"","","","","Spinal Traction Units","","","","185239","",""
"","","","","Spirometers & Peak Flow Meters","","","","185240","",""
"","","","","Surgical Lasers","","","","185241","",""
"","","","","TENS Machines & Electrical Muscle Stimulators","","","","184530","",""
"","","","","Tissue Processors","","","","185242","",""
"","","","","Titrators","","","","185175","",""
"","","","","Training Manikins & Patient Simulators","","","","100012","",""
"","","","","Transilluminators & UV Crosslinkers","","","","185243","",""
"","","","","Tympanometers & Audiometers","","","","185244","",""
"","","","","Ultrasonic Cleaners","","","","185245","",""
"","","","","Ultrasound Machines","","","","184542","",""
"","","","","Ultrasound Therapy Units","","","","185246","",""
"","","","","Urine Analyzers","","","","185247","",""
"","","","","Vacuum Regulators","","","","184532","",""
"","","","","Ventilators","","","","185248","",""
"","","","","Viscometers & Rheometers","","","","185249","",""
"","","","","Vision Screeners & Visual Field Analyzers","","","","185250","",""
"","","","","Water Baths, Circulators & Chillers","","","","185251","",""
"","","","","Wax Heaters","","","","185252","",""
"","","","+","X-Ray Machines & Equipment","","","","184537","",""
"","","","","Other Medical & Lab Equipment","","","","185256","",""
"","","+","Medical/Lab Equipment Attachments & Accessories","","","","","184512","",""
"","","-","Medical, Lab & Dental Supplies","","","","","185284","",""
"","","","","Anatomical Models","","","","185285","",""
"","","","","Anatomical, Eye/Vision & Reference Charts","","","","185286","",""
"","","","","Articulating Paper","","","","185287","",""
"","","","","Bone Plates & Screws","","","","185288","All listings are being moved into [Other Medical, Lab & Dental Supplies - 257874].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Burn & Wound Dressings","","","","185289","",""
"","","","","Cheek Retractors & Mouth Props","","","","257804","",""
"","","","","Conductive & Ultrasound Gels","","","","184566","",""
"","","","","Contouring, Polishing & Finishing Strips","","","","257805","",""
"","","","","Cotton Rolls, Dispensers & Holders","","","","257806","",""
"","","","","CPR Masks & Face Shields","","","","257807","",""
"","","","","Crowns & Veneers","","","","257808","",""
"","","","","Dental Articulators","","","","106367","",""
"","","","","Dental Burs, Polishers & Finishers","","","","257809","",""
"","","","","Dental Cements","","","","257810","",""
"","","","","Dental Etchants, Primers & Bonding Agents","","","","257811","",""
"","","","","Dental Face Shields, Head Lights & Loupes","","","","257812","",""
"","","","","Dental Implants & Abutments","","","","257813","All listings are being moved into [Other Medical, Lab & Dental Supplies - 257874].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Dental Impression Materials, Trays & Dispensers","","","","106368","",""
"","","","","Dental Matrix Systems & Wedges","","","","257814","",""
"","","","","Dental Patient Bibs & Bib Clips","","","","257815","",""
"","","","","Denture Teeth","","","","257816","All listings are being moved into [Other Medical, Lab & Dental Supplies - 257874].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Diagnostic Penlights","","","","257817","",""
"","","","","Disposable Face Masks","","","","257818","",""
"","","","","Disposable Gloves","","","","31474","",""
"","","","","EMS/Trauma Bags & First Aid Kits","","","","257819","",""
"","","","","Endodontic Posts","","","","257820","",""
"","","","","Filter Paper","","","","257821","",""
"","","","","Gingival Retraction Cords","","","","257822","",""
"","","","","Glass Stirring Rods","","","","257823","",""
"","","","+","Glassware & Plasticware","","","","257824","",""
"","","","","Gutta Percha Points & Absorbent Paper Points","","","","257837","",""
"","","","","Hypodermic Needles","","","","257838","All listings are being moved into [Other Medical, Lab & Dental Supplies - 257874].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Instrument Sharpeners","","","","257839","",""
"","","","","Intraoral Photographic Mirrors","","","","257840","",""
"","","","","Lab Burners","","","","257841","",""
"","","","","Lab Chemicals","","","","104233","",""
"","","","","Lab Distillation Kits & Apparatus","","","","257842","",""
"","","","","Lead Aprons","","","","257843","",""
"","","","","Micro Applicators","","","","257844","",""
"","","","","Orthodontic Arch Wire","","","","257845","",""
"","","","","Orthodontic Brackets, Bands & Buccal Tubes","","","","257846","",""
"","","","","Orthodontic Coil Springs","","","","257847","",""
"","","","","Orthodontic Headgear","","","","257848","",""
"","","","","Orthodontic Ligatures, Elastics & Power Chains","","","","257849","",""
"","","","","Orthodontic Wax","","","","257850","",""
"","","","","Orthopedic Nails, Pins & Wire","","","","257851","",""
"","","","","Ostomy Pouches & Support Belts","","","","184561","",""
"","","","","Ostomy Wafers/Skin Barriers","","","","184563","",""
"","","","","pH Test Strips","","","","257852","",""
"","","","","Phosphor Plates & Barrier Envelopes","","","","257853","",""
"","","","","Prophy Brushes, Cups & Angles","","","","257854","",""
"","","","","Prophy Paste","","","","257855","",""
"","","","","Retainer & Denture Cases","","","","257856","",""
"","","","","Rubber Dams, Clamps, Frames & Punches","","","","257857","",""
"","","","","Saliva Ejectors","","","","257858","",""
"","","","","Scaler Inserts/Tips","","","","257859","",""
"","","","","Shade Guides","","","","257860","",""
"","","","","Sharps Containers","","","","257861","",""
"","","","","Shoe Covers","","","","257862","",""
"","","","","Sterilization Trays & Cases","","","","184564","",""
"","","","","Stoppers, Bungs & Seals","","","","257863","",""
"","","","","Surgical Gowns","","","","257864","",""
"","","","","Surgical Mesh","","","","257865","",""
"","","","","Surgical Tape","","","","257866","",""
"","","","","Syringes","","","","31476","",""
"","","","","Syringe Filters","","","","257867","",""
"","","","","Tooth Whitening Gels & Kits","","","","257868","",""
"","","","","Tourniquets","","","","257869","",""
"","","","","Trial Lens Sets","","","","257870","",""
"","","","","Tube Racks","","","","257871","",""
"","","","","Typodonts & Typodont Teeth","","","","257872","",""
"","","","","X-Ray Markers","","","","257873","",""
"","","","","Other Medical, Lab & Dental Supplies","","","","257874","",""
"","","+","Medical, Lab & Caregiving Furniture","","","","","184500","",""
"","","","Other Healthcare, Lab & Dental","","","","","3179","",""
"","+","Heavy Equipment, Parts & Attachments","","","","","","257887","",""
"","-","HVAC & Refrigeration","","","","","","42909","",""
"","","-","Heating & Cooling Appliances","","","","","260499","New Category",""
"","","","","Air Cleaner & Purifier Units","","","","260442","New Category",""
"","","","","Humidifier & Dehumidifier Units","","","","183955","Moved from [HVAC & Refrigeration Units-109477] Renamed from [Humidifiers & Dehumidifiers]",""
"","","","","Portable Air Conditioners","","","","124616","Moved from [HVAC & Refrigeration Units-109477] Renamed from [Portable AC Units]",""
"","","","","Portable Evaporative Coolers","","","","260500","New Category",""
"","","","","Portable Fans","","","","260498","New Category",""
"","","","","PTAC Air Conditioners","","","","260501","New Category",""
"","","","","Space Heaters","","","","183956","Moved from [HVAC & Refrigeration Units-109477] Renamed from [Portable Heaters]",""
